UTLA19NM,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work,Other_industry,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration
Lewisham,275885,116091,117651,118617,218749,206255,136057,216216,262256,134957,140928,273342,2543,53399,47348,74795,57543,22654,3481,30763.80987183,29983.5,119652,28034,20472,4600,1596,1388,6164,11786,74942,7251,145588,30637,75155,24505,182799,3912,10233,10671,68270,7649,85790,65554,23942,4404,5335,7456,14533,9202,39680,17874,31653,13301,718,26166,2526,3868,15588,33402,65707,52,50664,36052,28216,1159,6506,39735,72917.81205396,135428,93850,32289,10755,3563,22521,38763,54633,23694,83127,55893,46991,13207,5820,82030,32960,15247,24079,82776,22050,12776,10112,15088,15018,9179,8779,6398,2474,5064,23582,51792,26904,17913,12187,26049,17810,18243,42,100,2906,328,440,7484,15527,5618,9818,8883,8564,2562,12784,8259,8599,15733,17374,11036,E09000023,21959.25,28,26.661,49,0.0296,98,0.2464,62,28994.08,95
Lincolnshire,713653,306971,321949,322252,591775,524197,334135,577253,691028,347605,366048,698748,14905,121745,80489,128490,199992,129040,18811,101176.19914137,105209,667019,29465,6190,2474,584,496,1737,2025,2561,1102,489184,9108,164628,50733,662910,2838,9340,21515,17050,8749,110654,296046,71133,4193,5718,10564,38064,40881,87130,101529,74775,17952,738,42799,15281,145817,92744,51483,29238,2970,212669,41768,47730,4804,2773,145422,261559.92159931,307017,256638,107948,32796,9254,79262,154691,205212,72729,126314,55407,137635,113929,20069,13177,244393,56496,75973,196958,49681,20035,15005,95106,20830,20749,21076,8784,2617,7797,44931,115189,72814,63225,50687,103100,79223,27323,11480,550,40416,1722,3372,25912,59585,15409,18391,6479,5798,3599,14065,14988,25025,29903,42693,14748,E10000019,16014.54,91,20.29,89,0.069,72,0.1463,91,30406.19,69
Liverpool,466415,206515,214149,215939,388315,356876,196630,372082,450439,230483,235932,450085,16330,84986,90602,92015,111092,57736,7730,60523.79077285,59495,402214,12457,11756,4915,1999,1075,7978,3436,12308,8277,331217,23473,82701,29024,420290,3294,4159,6448,32224,5894,148685,119214,36394,2932,4733,10040,25991,24093,80973,34277,48670,21164,3531,39064,9424,15080,59429,87732,53657,41,98043,57485,48290,2697,2726,104620,205462.76464736,217977,142132,65422,31162,9722,50562,111532,113544,59067,87126,95281,78775,32459,5258,52442,108277,30653,44816,116778,20676,23980,20020,41070,36781,13683,28453,10619,4727,9889,25683,62503,47590,23052,24982,58956,52080,37621,159,120,12330,581,1171,12708,30032,10918,14598,5447,7178,3219,9635,10013,13872,21362,32804,10483,E08000012,25833.57,4,42.412,3,0.4866,2,0.6213,1,32684.97,5
Luton,203201,74293,76014,76295,156445,145208,89201,154803,193195,101954,101247,201549,1652,43364,35433,43926,42376,21084,2797,20862.12578993,20329.5,96656,14423,8281,10625,29353,13606,1497,5871,19909,2980,96271,60963,33594,12373,140329,4754,2908,10905,44305,10476,46453,67449,13929,1354,4650,3940,8949,8079,20319,14239,22360,6066,907,16468,2002,9772,30616,19068,16716,123,44984,11715,16816,778,4454,30587,49835.89603506,94607,73300,25277,7571,2446,18256,36953,50684,17332,34814,20389,32923,20981,2657,13326,59488,13730,18407,53271,12198,8337,8059,14336,10703,9660,5496,4741,1648,3186,9736,24488,19258,13390,11666,23038,20936,15571,98,14,8241,193,511,7231,15850,8987,5477,2933,2348,1297,4194,5625,3895,8915,9608,3784,E06000032,20864.04,41,25.908,54,0.0331,95,0.271,56,29512.26,82
Manchester,503127,204969,213529,214377,405709,382932,213705,383791,480738,252623,250504,481030,22097,101500,123593,111440,90433,41171,6373,52073.81713069,49440,310080,25029,23161,11417,42904,6437,13539,11689,43484,15387,245247,95621,127485,34774,376066,8737,9627,13315,95382,16579,161923,108293,45539,6218,8879,10981,23152,18806,72255,33265,50788,20272,6532,42129,9408,10634,64967,64692,73989,95,78876,64682,58170,3241,7013,89364,159188.95107533,245334,159452,62651,27014,8676,42640,93765,100632,65100,117243,91248,83276,30445,7288,58476,107121,40820,41535,128930,23628,21880,27251,29179,53999,18697,25161,12672,4784,8453,33600,62114,43093,23518,22467,51967,47993,41272,138,66,11132,838,938,9962,33550,11444,19694,8843,9028,3343,15942,14362,8452,24250,30461,11262,E08000003,26417.75,2,40.005,6,0.4326,5,0.5999,2,32509.62,11
Medway,263925,106209,110107,110263,210511,194158,126689,206625,253480,130825,133100,259988,3937,53020,36622,54321,66990,32598,4407,31525.05814973,31719,227600,8979,5176,7132,1516,1304,1065,2598,6663,1892,152637,14308,78995,17985,236589,1725,3328,5447,16836,2871,51650,94225,25780,1589,2130,5150,14030,12071,29434,26158,31548,8406,497,18572,4054,15031,32487,44980,16856,909,72967,13996,18153,1093,1750,43354,76936.34622018,120662,95679,34307,10388,2889,25033,48226,83983,26818,40275,23231,45163,37815,4615,17882,89597,14595,27137,77912,16876,9469,6560,24738,9912,10105,7334,4115,1449,3818,15174,39630,31499,19018,17077,33068,26970,11866,446,83,9603,966,1523,13857,22022,7672,5639,3398,6336,1591,5988,6408,9688,11215,14754,5500,E06000035,18587.91,70,23.936,68,0.0859,66,0.2389,65,30780.98,63
Merton,199693,78757,80919,81210,160840,149598,104822,159397,190500,98515,101178,198217,1476,35713,32329,53663,43459,19845,3277,23405.31757599,22750,101075,28531,9334,8106,7337,2216,2618,15866,20811,3799,111993,32448,41231,14021,124290,3078,7649,11041,53635,6573,49544,67417,16932,1817,4143,3333,8706,7505,22294,16517,21410,5093,248,18288,2453,4701,14732,31138,30608,31,47360,11102,19503,792,3494,25232,45648.75159921,103891,67098,21025,5930,1749,16327,24378,37464,15928,66091,25644,37557,15556,5017,56313,31899,11593,16484,65877,18543,6072,5062,12903,9150,7912,3741,3854,1043,2313,24574,39514,21318,15822,8359,16349,11418,9726,33,244,3212,292,348,7578,13717,4583,5575,7208,7909,1906,11764,6540,5351,9696,12278,6588,E09000024,12224.63,123,14.649,127,0,130,0.0389,134,25452.04,132
Middlesbrough,138412,57203,59956,60164,110409,100551,54547,108161,132671,67732,70680,136156,2256,27980,21455,25414,34596,18226,2465,17006.33648272,16950,119680,2375,2362,1477,6811,244,904,1332,1731,1496,87511,11573,30797,8531,127042,439,954,1396,8581,2077,32968,43718,11777,880,1396,2469,7441,7512,17708,12320,16088,5960,684,10403,2961,8171,24004,19773,8188,28,33059,13654,9509,981,982,28878,52394.90462096,62855,45295,19719,8001,2542,14160,33002,36818,14542,20472,21488,22963,12752,1306,6694,37450,9097,15063,31301,5171,7631,4416,13922,7453,5569,6841,3184,1709,3070,5702,16745,12505,6136,8746,19177,17758,12019,82,387,4430,490,380,4620,9124,3002,3705,1266,1358,702,2253,2628,3197,5362,9116,2445,E06000002,23729.1,14,40.46,5,0.4884,1,0.571,6,32726.13,3
Milton Keynes,248821,98584,102012,102048,193429,181385,127783,191356,236730,123116,125705,246715,2106,50433,33652,59548,61209,23961,3550,28579.02144418,29150,186432,12662,8235,8106,3851,1989,2722,6114,17131,1579,131352,23092,77939,16438,202685,2044,5550,6244,32298,3701,45928,89078,24650,1834,3052,4974,12883,8957,25546,24412,31279,8166,51,17296,3464,28781,28636,28006,16547,78,62898,17763,17066,857,2622,34538,61051.34831252,124826,86778,26929,7955,2333,21797,34850,69595,22205,54591,18656,42633,37295,6689,14614,92292,14188,23644,84004,15731,8640,5698,18654,7143,8338,5810,3723,986,3364,22985,42010,29185,15132,13651,26394,21810,9830,276,74,10225,272,611,7339,26365,8348,5762,8212,6704,1523,8459,6933,5742,13401,11945,5592,E06000042,14351,107,17.98,107,0.0526,81,0.1183,101,29700.24,80
Newcastle upon Tyne,280177,117153,121761,121894,232203,212864,119335,223319,269980,140226,139951,271212,8965,53406,58960,51972,63085,33237,5482,34554.71445819,33816.5,231346,8187,4279,5072,6364,4692,6037,4942,5160,4098,158138,25055,79345,17639,242598,942,3680,3792,29165,4755,82140,80004,23563,2066,3115,4709,14168,13554,40337,24188,28087,8943,4706,19835,4741,9447,41054,32049,39316,28,58444,34850,22318,1541,1970,52577,101285.51372034,133933,89096,38018,14793,4337,25810,54885,63223,39659,63073,48853,45938,22362,3988,31125,64070,20152,25835,69811,13132,10652,14418,24571,29253,8868,11509,4815,2236,4119,21175,37362,25980,13135,14269,31436,28139,17617,153,231,7315,691,537,7613,17779,5520,10314,4470,3817,1704,7307,5732,8517,12662,18794,6179,E08000021,19772.69,54,29.79,32,0.2571,19,0.3706,31,32527.85,10
Newham,307984,101519,103212,103617,238090,228958,132454,236115,292396,160336,147648,306009,1975,65382,73023,76602,51550,18257,2336,25422.57692998,23696,53688,35528,13945,42484,30307,37262,3930,19912,60256,10672,123119,135717,29373,19775,142570,1914,7666,25227,130607,25488,93879,80737,15451,2671,14133,7366,12652,9226,26536,10636,29182,10300,1791,33374,2098,6982,10941,37272,48346,76,35628,30092,34570,1229,15214,42711,64594.13148303,149269,106549,34839,12763,4564,24604,49087,56319,23456,71771,52849,38531,10139,3186,87113,29798,12357,26408,70712,21742,15734,19165,13211,24959,16510,9728,10789,4623,5652,14085,33211,22435,22101,13875,31004,23895,34662,94,34,3961,260,601,11223,22662,7987,15665,5525,6776,2215,7109,11612,5509,11320,13685,6216,E09000025,24138.7,11,29.577,34,0.0244,102,0.2884,53,28987.07,96
Norfolk,857888,372085,401756,402178,712903,623798,397314,696881,829759,420160,437728,841042,16846,143521,101492,154289,231698,159417,25814,127207.2008997,131758,796763,31255,10027,4043,700,933,3208,4133,4609,2217,523163,15594,254240,64891,796346,3167,12108,15309,30958,7103,141796,345867,88659,5531,6985,12255,46751,49037,109134,120398,87684,20977,1488,53381,30093,154210,114641,76955,50185,6187,251044,59297,55686,6058,3656,172431,320602.47929803,366280,314157,129218,37527,10706,94691,187738,247242,83896,156412,70096,166827,135162,23756,23675,281267,68616,94006,225180,64452,23678,17416,111739,25667,25902,24187,11571,2882,9175,56837,138929,91930,79510,58206,122658,91473,31002,9697,1431,39996,1460,2893,33925,68367,16344,24567,8218,15902,5295,20070,17333,22237,36821,52652,20106,E10000020,16963.01,81,21.183,84,0.0743,71,0.1504,90,30492.04,66
North East Lincolnshire,159616,69707,72520,72560,129377,115823,70776,127574,153508,78247,81369,157786,1830,29540,20508,29802,42513,24546,3741,21970.832005019998,22343,152654,2767,1186,513,195,268,605,548,411,469,96836,2820,48476,11484,152643,347,1164,1923,3539,882,30291,56628,16918,993,1230,2672,10041,8801,21793,18695,18464,6071,31,10724,2853,15003,23782,24009,9668,98,46283,10091,12627,706,598,31120,58763.13722589,70242,55935,23779,7507,2153,15993,38209,49821,13998,20970,21481,30338,17888,1912,5263,50817,12784,19086,42039,7484,7486,3132,18018,4825,5635,5612,2506,1118,3143,6310,20795,14080,9628,13852,26276,21585,9121,362,240,11045,519,387,5848,13435,5532,3808,748,942,669,2430,3044,3431,6243,9309,2784,E06000012,20177.27,51,31.335,25,0.3019,15,0.3858,28,32690.91,4
North Lincolnshire,167446,70684,73628,73651,136105,122329,78101,134555,161339,82623,84823,165871,1575,29987,19491,31667,46885,26275,3764,22115.4092716,22810.5,155253,5495,1244,1122,862,1443,530,592,494,411,110554,4853,40176,11863,156487,618,1704,4059,4578,2041,27302,66318,17461,1140,1456,2502,9278,9098,19420,21371,18585,4599,4,11304,2967,24793,30385,10823,7093,557,49316,10895,9477,996,716,32279,57441.29374492,73234,59883,24667,7593,2069,18157,35633,50930,15917,26583,14617,30714,25353,3323,2517,60960,11301,18768,48278,8869,5869,2884,20296,4569,5433,5151,2212,952,2355,9071,23818,15053,10960,14293,24136,23021,8456,1198,276,15166,553,614,6201,13119,5086,3906,975,1418,741,2611,3090,3876,6577,9857,2837,E06000013,17200.38,79,22.096,79,0.1089,58,0.2043,71,30774.98,64
North Somerset,202566,88227,91694,91954,165914,145352,97563,162604,195597,98463,104103,199225,3341,34558,19854,38286,56211,36114,6519,30320.86620896,31698,191666,5410,2033,817,111,299,619,590,632,389,123545,2954,60867,15200,190809,959,2075,2811,5912,811,31684,84508,17856,1076,1567,3132,11560,11221,27115,27090,22488,5377,104,11430,3727,30398,27476,14463,18667,950,64907,8103,14270,947,566,38740,73217.81019706,93803,70435,27670,8276,2382,22313,32539,58541,21012,47041,15151,36867,36209,6422,5748,72916,12477,23117,55596,15426,4350,4118,25366,4591,5082,5607,2099,377,1590,19144,38301,24047,17079,11933,25017,16054,5796,890,164,7998,432,1049,7585,16703,4686,4857,3585,5085,1562,6443,4340,6126,8663,12883,4512,E06000024,11811.57,128,15.825,119,0.0593,76,0.1151,102,30424.94,68
North Tyneside,200801,91295,94528,94566,165088,147889,96026,163435,193700,96883,103918,199142,1659,34112,23319,41644,55778,30583,4712,28818.59397178,29440.5,191532,2493,1815,1095,319,686,869,846,734,412,128185,3416,56408,12792,192855,400,1503,892,5151,658,38774,74834,19230,1302,1387,3824,12220,11864,30960,23866,23495,7233,27,12947,3271,9674,39436,23569,21848,39,59510,19677,11300,808,587,41405,80513.27305461,90031,66955,30156,10638,3021,22208,39157,58404,19623,41734,28865,40879,21551,3238,19619,61791,11378,21815,61349,9635,7304,4139,23497,5310,5048,7354,2438,1039,2965,14642,34805,26607,10571,12722,26225,21290,9002,127,393,7883,671,553,7054,13861,4270,4992,3917,3196,1267,4986,4125,10539,9789,14087,4316,E08000022,16825.05,82,22.279,77,0.0916,61,0.232,66,30943.76,60
North Yorkshire,598376,256594,277578,278115,494671,436806,299201,480224,579990,294110,304266,582624,15752,101509,61317,106914,174588,106410,16789,89193.60472299,93584,567436,15039,5043,1631,894,275,1733,2823,2424,1078,415237,7580,133023,42536,562867,1934,7209,7392,18974,2723,90559,256378,51360,3200,5265,8508,30813,34141,74954,82726,63679,13711,179,35056,21521,90405,86310,61261,38482,1657,180041,28647,43051,4855,1916,104744,196939.69297836,285526,206349,78814,21734,5953,64779,102684,165320,59817,144235,45716,110448,100430,25408,16027,202632,55134,66097,166951,56749,13274,11029,75620,14292,14434,12113,6247,1332,4885,52055,112786,63042,65288,37280,70232,51821,17336,10637,1093,26512,1666,1782,23327,46638,10693,21961,6798,8817,3848,18132,11832,24987,27758,37001,15719,E10000023,11980.56,127,14.762,125,0.0295,99,0.0581,121,27285,118
Northamptonshire,691952,287730,298192,298462,554081,506174,349454,544622,664244,341342,350610,681850,10102,130542,83313,146623,184244,92064,13972,88266.7758928,90666,599459,33363,14182,12264,2312,4264,2846,3741,16923,2598,414265,28638,202379,46670,617132,5407,8166,21327,39920,9256,119690,264952,70223,3857,5950,13392,35196,31362,80100,81769,81651,20861,595,43615,10732,88615,96302,76296,36539,710,197837,43908,42207,3778,3707,111984,202304.0786616,324025,249082,87222,24570,7053,69498,123544,199290,65851,133320,54332,118068,115330,18648,21647,266841,42318,70097,219562,47526,20078,15457,68299,19649,19466,16900,9140,2318,7589,52117,113801,75834,50906,42244,80269,81253,23163,2713,165,44039,1513,2444,26491,66834,22937,14575,11165,13379,3712,18622,17517,16492,32093,39292,15471,E10000021,14560.15,104,18.605,99,0.0569,78,0.1511,89,29915.84,77
Northumberland,316028,138534,148008,148043,262162,233224,146901,256897,306525,154124,161904,310591,5437,52144,32411,56156,95668,55384,7920,46864.68248697,49050.5,307930,3136,1692,939,351,295,452,621,338,274,216673,3574,75620,20161,307103,606,2059,1274,4986,644,51272,132887,27836,1869,2374,5305,16570,18784,41406,43375,34501,8610,22,19230,9509,37247,52263,41652,16460,421,91717,25841,18417,2559,985,65498,123739.34898457,138990,108458,48580,15641,4359,35697,62584,90977,31650,67024,30543,60875,47116,9195,10925,106309,20472,34368,86380,22063,10329,5128,43897,8108,8368,10321,4262,1535,4028,23251,54994,34351,25288,21524,41523,34533,13742,3739,770,13569,858,1060,11629,21477,6210,8794,3657,3480,2164,7616,5642,13421,13081,22591,7143,E06000057,16778.29,84,22.079,80,0.1168,55,0.205,70,31248.45,53
Nottingham,305680,126131,131194,131586,250104,232072,123218,234289,293385,153777,151903,289738,15942,62878,68998,61519,60304,30397,5155,35636.27223533,34379,202809,15889,20265,9901,16771,1049,5988,6330,22185,4493,135216,40332,106954,23178,245951,1901,4963,9826,43039,8120,91440,73474,27965,2927,4275,5504,15858,12846,45617,23345,30586,11998,4845,21738,5455,19407,41107,37654,33336,82,57653,37486,29098,1894,3221,55382,106491.91868682,141038,103332,41581,15063,4666,26954,63991,68667,46411,54875,55093,50614,20424,4052,29706,64291,25169,27605,72252,13004,14775,14691,21144,37733,10854,13161,6853,2879,5834,16024,33977,23936,14376,16573,34899,36916,21720,197,90,10266,1619,720,7602,21831,6591,9725,4110,2801,1786,5646,7392,5636,13033,18098,6075,E06000018,24458.51,10,34.891,10,0.3077,13,0.5235,10,31909.18,31
Nottinghamshire,785802,334303,346871,347044,643480,578254,375195,632262,758698,386722,399080,774338,11464,138863,88613,155113,219019,124294,18153,108577.51463797,112102.5,732071,18732,10716,7204,3470,600,2942,2923,5102,2042,481994,18841,230138,54829,743415,2976,6641,11123,21647,4803,133699,315227,77829,4743,5360,12188,40849,42367,94773,100179,89134,21742,678,49539,12741,123592,131391,57729,32945,1387,240890,45084,44036,4293,2757,159672,295575.72702137,352053,270336,115940,37044,10429,90698,164078,218079,78530,154618,69687,144941,119675,18621,33404,275749,47421,86589,227198,49590,22745,15143,95255,23698,21883,25340,10813,3374,8707,60679,128342,81957,56595,54467,99475,93691,30174,3121,1722,44157,3987,2674,32098,66064,17468,18111,10409,8161,4594,19217,14730,23590,38455,49958,16679,E10000024,14839.67,101,18.999,94,0.0624,74,0.153,88,30025.09,75
Oldham,224897,89703,92998,93025,174438,159765,96300,172735,215121,110155,114742,223170,1727,46884,29763,44945,54930,28745,4208,27408.30510968,27572.5,171439,2887,4057,1555,22686,16310,726,1888,2797,552,134167,42067,36169,12494,198396,1211,1418,1781,22091,7855,43934,77032,19419,1198,3168,4676,11377,11931,26790,19950,26958,8148,39,15966,3322,11466,31456,38340,11723,40,58611,18918,10944,1230,2837,44326,79213.77749625,101526,74987,32778,12179,3427,24322,51620,60424,20422,32458,27954,38521,23228,3243,12790,68478,11789,22171,58410,12434,8661,4722,22426,8135,9038,9209,4559,1575,3225,11228,29111,22805,14890,14022,27423,27151,15300,127,26,10913,427,748,8029,18287,5586,5659,2196,3145,1450,4332,4615,5077,9185,12638,3860,E08000004,22460.1,25,33.155,16,0.305,14,0.479,16,32318.78,17
Oxfordshire,653798,258855,269479,270070,531558,482238,334419,504128,629045,322971,330827,624099,29699,120867,94423,135280,163455,89059,14683,81840.95552036,83134,553092,40912,13233,8140,7846,2491,5618,7562,11424,3480,393906,28670,182344,48878,561303,4806,17235,13214,57240,5540,120304,249746,57053,4081,6670,8335,29535,28404,70834,73470,70306,14257,1970,42275,11215,77546,86460,60573,43364,2127,172451,36833,45207,4364,3704,89756,159067.44161848,342600,218698,69321,18072,5107,61131,88827,155360,70521,190030,45340,107358,106157,24274,34830,208619,66696,64450,205466,50419,13103,16681,57079,38179,17972,10553,8336,1537,4792,77460,121998,65047,47180,34240,63045,50954,17636,3049,375,27132,1723,2232,23104,48224,11964,16200,20261,7279,4207,30901,14076,21722,47179,37370,17421,E10000025,9235.93,142,11.656,142,0.0025,128,0.0392,133,25200.76,134
Peterborough,183631,74023,76760,76826,144495,132318,88044,142704,175077,90859,92772,181827,1804,36751,27548,40315,42715,21530,3348,22570.94837259,22600,131489,20055,4948,4636,12078,229,872,3677,4164,1483,104202,21953,45183,12293,145739,1064,4448,14134,18246,8516,34824,63945,18120,1201,2445,3713,10304,8152,21252,18187,21178,5882,47,13359,2803,20851,23918,19376,12211,470,44566,14434,14168,855,1837,30591,56172.68289768,81275,68493,24362,7425,2076,17690,36158,50663,15589,29245,18412,33372,22239,3454,9472,61363,13755,18654,56704,10012,6691,3585,15323,5104,7270,5484,3491,1129,2516,11405,25774,20759,10825,11422,23480,22265,10121,727,47,10400,238,667,5257,16112,5482,4252,3227,4432,1086,3887,6553,5541,7056,9551,3529,E06000031,20858.96,42,27.821,40,0.1429,49,0.3675,32,31029.61,57
Plymouth,256384,109307,113069,113528,211502,191786,117466,206292,247025,126684,129700,251100,5284,46785,43231,48662,63044,36097,5618,33586.90319272,33501.5,239368,7141,3287,875,202,359,1251,1219,1678,1004,148917,4981,84295,18191,238177,987,3446,4324,9450,1425,55578,88009,26053,1850,2066,4066,16023,12647,34317,28943,27412,7894,1793,16842,4221,12220,33245,37987,29775,301,64998,21095,22026,1188,1549,52192,98053.83246601,117976,85956,35756,13012,3684,27247,47073,74997,35009,45379,30438,49904,28965,3604,14728,77609,21525,28356,69234,13116,8136,8900,27019,16060,7482,10042,3441,1115,3009,14189,38181,28671,15699,16883,34259,28160,10851,222,188,11493,877,642,8733,18796,6354,7066,2756,2342,1604,4561,4947,12772,11951,16819,5343,E06000026,19859.59,52,26.619,50,0.1739,38,0.306,43,31468.47,48
Portsmouth,205056,85473,88091,88638,167256,153705,96619,162345,196712,103201,101855,200052,5004,40431,39752,41524,44906,23071,4341,24194.45959109,23264,173384,7798,5467,2911,539,3649,2611,2764,3777,2156,106999,11359,71826,14872,180032,862,3368,4553,16241,2441,53136,58957,20764,1828,2082,3781,12647,9150,27471,18449,22354,7335,2910,14289,3165,3667,13809,39699,31323,140,47722,15611,21098,1042,1633,32859,59968.1252863,97795,71443,25464,7995,2359,17136,35405,53598,30068,39630,28533,37396,19544,3280,11845,57184,24310,20626,57743,11551,6536,9378,16385,16380,6297,5813,2996,810,2730,13751,30907,21096,13137,11846,22944,19675,8443,127,41,8426,1303,656,8065,14303,4664,6629,3541,2614,1145,3887,5547,9324,9763,12147,4437,E06000044,20660.69,45,26.899,46,0.12,52,0.2473,61,31824.64,35
Reading,155698,62869,65551,65925,125582,116808,79852,121356,148243,77967,77731,151330,4368,29714,29687,38506,31403,15190,2642,17707.3595957,17216,103994,12393,6180,6514,6967,695,1603,5382,10470,1500,77848,20547,45931,11372,117078,1732,4080,5807,27001,3140,38270,49079,14943,1095,2659,2548,7023,5739,19237,14194,16873,4727,951,11614,3056,7992,16686,20024,21073,150,35609,10242,16394,624,2039,20110,36503.79802049,78169,54913,16770,4590,1256,12315,21834,33905,16875,43690,17819,28235,16815,3721,17008,41686,17437,13883,52054,9238,5329,5825,10001,9297,5334,3227,2620,812,2195,17642,26526,15492,8588,7391,15994,11935,7162,109,260,3949,466,890,4955,12396,3644,4719,8887,3290,821,7243,4586,3714,7763,8708,3452,E06000038,16125.74,90,19.619,92,0.0515,83,0.1243,99,28764.09,101
Redbridge,278970,99105,101348,101575,216112,199544,124692,214474,265968,138073,140897,277323,1647,58182,42708,64231,61540,28370,5015,27980.2116229,27221.5,100153,18493,11456,45660,31051,16011,3000,20781,24845,7520,102755,127476,30691,18048,175897,3040,5143,9876,85014,12047,63951,100791,13406,1838,6813,5099,10882,11694,25228,17165,31272,8217,435,25005,2470,6920,26849,35256,32485,65,63986,11289,22657,1173,6159,41372,64419.36104756,134230,97595,33470,10479,3196,27291,39877,58459,22208,73299,27697,44548,26860,5284,59285,50589,9534,23948,71627,23437,10590,8174,19026,16199,13137,6548,6858,2467,4119,25131,44553,29776,22849,9948,23777,14408,22048,56,80,4340,242,326,9184,18770,7279,5969,7078,10527,2694,10387,6377,7405,14081,14277,5620,E09000026,15082.62,98,17.203,109,0,130,0.0405,131,25538.12,131
Redcar and Cleveland,135177,59605,61899,61965,111011,99177,56354,109763,130641,65655,69522,133929,1248,24191,15720,24120,37796,23139,3113,19502.04592539,20072.5,132343,860,853,91,295,94,155,234,122,130,95111,1287,30054,8725,132158,324,743,370,1582,170,25849,51434,12678,623,823,2130,7901,8325,18735,16206,15771,5141,11,8882,2360,11112,27265,17358,6186,44,39961,11568,7434,642,463,30717,58475.39870108,57285,45844,21449,8184,2415,16034,31550,39538,14572,21013,16935,25367,17303,1742,5022,42232,7358,15322,33372,5864,6533,2439,19206,4142,4361,5869,2069,1225,2692,6454,19578,13181,7147,12050,19902,17596,8682,285,1126,5815,693,444,4976,8830,2651,3027,963,1103,898,2635,2441,3624,5545,8787,2511,E06000003,20348.4,48,29.792,31,0.2386,23,0.363,33,32545.62,9
Richmond upon Thames,186990,79835,82482,82827,150052,137779,99204,147274,178321,91149,95841,184098,2892,32950,21691,49396,46550,21257,4039,23678.52731951,23776,138348,22377,6780,5202,1163,867,1753,4622,2816,3062,103319,14636,53195,15840,141585,3295,8500,4214,29396,1834,38524,68244,17458,1674,2333,2672,9071,7298,26008,19110,22038,3882,285,12394,2992,6932,19947,22290,33442,216,51351,10051,17440,993,1223,21447,39738.23202245,107217,57088,16662,4617,1406,15802,15915,29295,15920,79584,19751,40079,20005,8870,40141,35266,14927,14207,61511,20467,4153,3752,13794,7383,6979,2802,2731,450,1560,32316,47997,17564,13877,5458,10294,6403,5429,52,563,3528,423,236,4283,10320,4036,3953,11256,7260,2154,15264,4743,4556,11113,8394,7070,E09000027,7159.19,148,9.425,148,0,130,0.0076,145,20998.48,144
