Area.name,Area.code,Area.type,date,Daily.lab.confirmed.cases,Cumulative.lab.confirmed.cases
Doncaster,E08000017,Upper tier local authority,2020-04-11,8,238
Dorset,E06000059,Upper tier local authority,2020-04-11,3,205
Dudley,E08000027,Upper tier local authority,2020-04-11,20,463
Ealing,E09000009,Upper tier local authority,2020-04-11,26,769
East Riding of Yorkshire,E06000011,Upper tier local authority,2020-04-11,6,225
East Sussex,E10000011,Upper tier local authority,2020-04-11,12,349
Enfield,E09000010,Upper tier local authority,2020-04-11,21,573
Essex,E10000012,Upper tier local authority,2020-04-11,61,1599
Gateshead,E08000037,Upper tier local authority,2020-04-11,25,452
Gloucestershire,E10000013,Upper tier local authority,2020-04-11,32,694
Greenwich,E09000011,Upper tier local authority,2020-04-11,11,479
Hackney,E09000012,Upper tier local authority,2020-04-11,15,504
Halton,E06000006,Upper tier local authority,2020-04-11,11,211
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-04-11,4,391
Hampshire,E10000014,Upper tier local authority,2020-04-11,52,1683
Haringey,E09000014,Upper tier local authority,2020-04-11,9,431
Harrow,E09000015,Upper tier local authority,2020-04-11,16,676
Hartlepool,E06000001,Upper tier local authority,2020-04-11,0,0
Havering,E09000016,Upper tier local authority,2020-04-11,18,463
"Herefordshire, County of",E06000019,Upper tier local authority,2020-04-11,6,108
Hertfordshire,E10000015,Upper tier local authority,2020-04-11,55,1546
Hillingdon,E09000017,Upper tier local authority,2020-04-11,17,529
Hounslow,E09000018,Upper tier local authority,2020-04-11,9,493
Isle of Wight,E06000046,Upper tier local authority,2020-04-11,2,53
Islington,E09000019,Upper tier local authority,2020-04-11,3,330
Kensington and Chelsea,E09000020,Upper tier local authority,2020-04-11,4,373
Kent,E10000016,Upper tier local authority,2020-04-11,59,1723
"Kingston upon Hull, City of",E06000010,Upper tier local authority,2020-04-11,14,137
Kingston upon Thames,E09000021,Upper tier local authority,2020-04-11,4,301
Kirklees,E08000034,Upper tier local authority,2020-04-11,15,337
Knowsley,E08000011,Upper tier local authority,2020-04-11,16,317
Lambeth,E09000022,Upper tier local authority,2020-04-11,45,929
Lancashire,E10000017,Upper tier local authority,2020-04-11,90,1626
Leeds,E08000035,Upper tier local authority,2020-04-11,35,671
Leicester,E06000016,Upper tier local authority,2020-04-11,17,388
Leicestershire,E10000018,Upper tier local authority,2020-04-11,23,546
Lewisham,E09000023,Upper tier local authority,2020-04-11,14,698
Lincolnshire,E10000019,Upper tier local authority,2020-04-11,21,472
Liverpool,E08000012,Upper tier local authority,2020-04-11,40,934
Luton,E06000032,Upper tier local authority,2020-04-11,16,397
Manchester,E08000003,Upper tier local authority,2020-04-11,41,686
