"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01006792",25260,9.15,0.06,0.08,1.67,-0.05,-0.69,19.4,16.88,0.07,0.06
"E01006793",10560,25.53,0.19,0.18,12.27,0.84,-0.38,16.42,25.14,0.19,0.23
"E01006794",19118,14.51,0.09,0.1,9.43,0.17,-0.15,9.51,31.05,0.11,0.11
"E01006795",21872,11.94,0.07,0.09,5.69,0.4,-0.44,3.28,24.43,0.08,0.1
"E01006796",27668,7.26,0.04,0.05,1.84,-0.13,-0.11,23.9,10.98,0.03,0.05
"E01006797",4563,39.81,0.25,0.25,29.59,1.67,-0.01,17.76,22.56,0.26,0.33
"E01006798",20719,12.96,0.1,0.1,9.74,0.23,-0.57,8.8,19.41,0.12,0.14
"E01006799",8124,30.26,0.25,0.21,12.49,1.11,-0.78,10.63,26.5,0.22,0.33
"E01006800",21134,12.57,0.08,0.12,5.65,0.24,-0.53,11.16,12.76,0.06,0.1
"E01006801",21501,12.25,0.09,0.08,8.84,0.47,-0.9,14.98,15.63,0.07,0.15
"E01032505",6574,33.87,0.22,0.18,28.28,0.89,0.22,37.7,20.65,0.34,0.23
"E01032506",5168,37.91,0.23,0.2,25.6,1.59,-0.06,9.95,53.51,0.31,0.29
"E01032507",10486,25.67,0.18,0.13,17.6,0.93,-0.38,7.2,51.67,0.3,0.28
"E01032508",1002,59.12,0.36,0.27,57.37,1.91,1.12,11.81,54.13,0.42,0.47
"E01032509",1251,56.82,0.36,0.26,45.37,1.64,1.08,10.35,69.36,0.49,0.38
"E01032510",4740,39.25,0.24,0.19,32.06,1.43,0.74,11,49.88,0.32,0.27
"E01032511",4319,40.67,0.26,0.21,42.61,1.39,0.11,32,21.62,0.39,0.27
"E01033747",29,80.32,0.51,0.44,71.32,2.77,1.85,16.56,37.65,0.52,0.51
"E01033748",16004,17.87,0.07,0.05,14.58,0.93,-0.8,38.77,25.66,0.21,0.21
"E01033749",22984,11.02,0.02,0.01,8.14,0.82,-0.66,28.88,15.94,0.14,0.23
"E01033750",20066,13.58,0.05,0.04,6.92,0.33,0.34,31.67,29.33,0.12,0.21
"E01033751",5021,38.36,0.19,0.13,43.35,1.92,0.7,22.16,43.66,0.67,0.5
"E01033752",17254,16.45,0.03,0.03,16.12,0.66,-0.19,23.6,57.84,0.04,0.14
"E01033753",18180,15.46,0.02,0.02,7.79,0.76,-1.38,32.02,52.69,0.06,0.27
"E01033754",6946,32.93,0.16,0.1,22.44,1.16,1.61,22.26,45.57,0.48,0.46
"E01033755",16185,17.65,0.02,0.02,8.58,0.95,0.5,14.89,61.99,0.06,0.12
"E01033756",12319,22.61,0.04,0.04,7.98,0.64,1.63,29.07,51.79,0.05,0.1
"E01033757",5493,36.87,0.18,0.14,37.17,1.83,0.33,25.36,45.82,0.49,0.54
"E01033758",6121,35.07,0.11,0.07,24.56,2.26,0.82,29.04,61.33,0.22,0.43
"E01033759",1582,54.12,0.37,0.28,40.6,1.81,0.94,9.15,38.75,0.47,0.39
"E01033760",7585,31.37,0.03,0.03,36.8,0.89,1.66,33.58,74.25,0.08,0.52
"E01033761",9835,26.79,0.04,0.03,6.32,1.13,2.53,18.14,70.28,0.39,0.22
"E01033762",9976,26.54,0.1,0.05,17.74,1.47,0.84,32.1,42.77,0.92,0.57
"E01033763",285,69.53,0.41,0.35,61.14,2.74,1.07,19.33,39.86,0.47,0.58
"E01033764",72,76.87,0.51,0.45,63.81,2.73,1.63,15.95,24.61,0.53,0.6
"E01033765",1212,57.11,0.39,0.3,57.94,1.91,0.74,15.01,13.97,0.46,0.5
"E01033766",15356,18.65,0.12,0.08,10.79,0.66,-0.19,6.22,50.17,0.23,0.25
"E01033767",858,60.87,0.42,0.31,51.03,2.02,0.02,11.61,48.54,0.62,0.47
"E01033768",2592,48.06,0.28,0.26,24.18,1.9,0.68,21.84,50.58,0.3,0.55
